=== Zhongmian Nodes (Sorted by ID) ===
 2461 :     0.00 : 跨境点
 2462 :     4.51 : 瑞丽分输站
 2463 :    21.46 : 中缅1#阀室
 2464 :    43.57 : 中缅2#阀室
 2465 :    59.77 : 中缅3#阀室
 2466 :    85.93 : 中缅4#阀室
 2467 :   109.07 : 芒市分输站
 2468 :   117.91 : 中缅5#阀室
 2469 :   135.13 : 中缅6#阀室
 2470 :   156.73 : 龙陵分输站
 2471 :   164.91 : 中缅7#阀室
 2472 :   196.59 : 中缅8#阀室
 2473 :   224.54 : 中缅9#阀室
 2474 :   240.13 : 中缅10#阀室
 2475 :   253.29 : 保山压气站
 2476 :   264.03 : 中缅11#阀室
 2477 :   276.99 : 中缅12#阀室
 2478 :   308.13 : 中缅13#阀室
 2479 :   334.72 : 中缅14#阀室
 2480 :   361.84 : 中缅15#阀室
 2481 :   391.54 : 中缅16#阀室
 2482 :   412.80 : 弥渡分输站
 2483 :   437.60 : 中缅17#阀室
 2484 :   469.68 : 中缅18#阀室
 2485 :   504.19 : 中缅19#阀室
 2486 :   525.64 : 中缅20#阀室
 2487 :   547.65 : 中缅21#阀室
 2488 :   569.52 : 楚雄分输站
 2489 :   595.12 : 中缅22#阀室
 2490 :   617.82 : 禄丰分输站
 2491 :   648.70 : 中缅23#阀室
 2492 :   681.03 : 中缅24#阀室
 2493 :   712.35 : 中缅25#阀室
 2494 :   735.11 : 中缅26#阀室
 2495 :   760.97 : 寻甸分输站
 2496 :   781.09 : 中缅27#阀室
 2497 :   796.10 : 中缅28#阀室
 2498 :   820.93 : 曲靖分输站
 2499 :   831.86 : 中缅29#阀室
 2500 :   854.35 : 中缅30#阀室
 2501 :   870.15 : 中缅31#阀室
 2502 :   902.16 : 中缅32#阀室
 2503 :   932.68 : 中缅33#阀室
 2504 :   949.22 : 中缅34#阀室
 2505 :   980.52 : 中缅35#阀室
 2506 :  1003.34 : 中缅35A#阀室
 2507 :  1017.56 : 中缅36#阀室
 2508 :  1038.35 : 中缅37#阀室
 2509 :  1062.04 : 中缅38#阀室
 2510 :  1084.82 : 中缅39#阀室
 2511 :  1104.03 : 安顺分输站
 2512 :  1125.79 : 中缅40#阀室
 2513 :  1147.48 : 中缅41#阀室
 2514 :  1164.40 : 中缅42#阀室
 2515 :  1182.23 : 贵阳压气站
 2516 :  1201.43 : 中缅43#阀室
 2517 :  1224.73 : 中缅44#阀室
 2518 :  1247.28 : 中缅45#阀室
 2519 :  1266.58 : 中缅46#阀室
 2520 :  1285.85 : 都匀分输站
 2521 :  1309.66 : 中缅47#阀室
 2522 :  1334.11 : 中缅48#阀室
 2523 :  1353.69 : 中缅49#阀室
 2524 :  1377.72 : 中缅50#阀室
 2525 :  1409.34 : 中缅51#阀室
 2526 :  1437.59 : 中缅52#阀室
 2527 :  1465.96 : 中缅53#阀室
 2528 :  1493.96 : 河池压气站
 2529 :  1522.13 : 中缅54#阀室
 2530 :  1541.97 : 宜州分输站
 2531 :  1554.84 : 中缅55#阀室
 2532 :  1586.97 : 忻城分输站
 2533 :  1613.89 : 中缅56#阀室
 2534 :  1639.57 : 中缅57#阀室
 2535 :  1651.49 : 中缅58#阀室
 2536 :  1670.96 : 来宾分输站
 2537 :  1702.67 : 中缅59#阀室
 2538 :  1725.70 : 中缅60#阀室
 2539 :  1744.21 : 贵港压气站
 2540 :     0.00 : 弥渡分输站
 2541 :    14.60 : 大理分输站
 2542 :    45.89 : 丽江1#阀室
 2543 :    68.55 : 丽江2#阀室
 2544 :    94.31 : 丽江3#阀室
 2545 :   119.56 : 丽江4#阀室
 2546 :   148.38 : 丽江5#阀室
 2547 :   160.39 : 丽江6#阀室
 2548 :   177.07 : 丽江7#阀室
 2549 :   199.20 : 丽江末站
 2550 :     0.00 : 禄丰分输站
 2551 :    24.20 : 玉溪1#阀室
 2552 :    42.66 : 安宁分输站
 2553 :    69.64 : 玉溪2#阀室
 2554 :    93.08 : 玉溪3#阀室
 2555 :   112.41 : 玉溪末站
 2556 :     0.00 : 都匀分输站
 2557 :    15.17 : 都匀1#阀室
 2558 :    33.92 : 都匀末站
 2559 :     0.00 : 忻城分输站
 2560 :    20.98 : 桂林1#阀室
 2561 :    42.73 : 柳州分输站
 2562 :    66.93 : 桂林2#阀室
 2563 :    90.37 : 桂林3#阀室
 2564 :   112.39 : 桂林4#阀室
 2565 :   132.89 : 桂林5#阀室
 2566 :   155.59 : 桂林6#阀室
 2567 :   173.05 : 永福分输站
 2568 :   202.45 : 桂林末站
 2569 :     0.00 : 南宁分输站
 2570 :    19.67 : 钦州1#阀室
 2571 :    41.99 : 钦州2#阀室
 2572 :    59.79 : 钦州3#阀室
 2573 :    80.70 : 钦州分输站
 2574 :    96.31 : 钦州4#阀室
 2575 :   103.97 : 钦州5#阀室
 2576 :   118.34 : 钦州6#阀室
 2577 :     0.00 : 大番坡分输站
 2578 :     0.00 : 河东分输站
 2579 :   127.58 : 钦州7#阀室
 2580 :   141.24 : 钦州港分输站
 2581 :     0.00 : 钦州分输站
 2582 :    12.09 : 防城港1#阀室
 2583 :    32.31 : 防城港2#阀室
 2584 :    48.05 : 防城港3#阀室
 2585 :    62.51 : 防城港末站
 2586 :     0.00 : 河池压气站
 2587 :    23.20 : 河池末站
