rank,city,total_score,aqi_mean,aqi_mean_score,pm25_mean,pm25_mean_score,good_days_ratio,good_days_score,aqi_median,aqi_median_score
1,Mumbai,100.0,86.85336172801946,100.0,79.32115036649284,100.0,13.964101003954973,100.0,86.0,100.0
2,Jaipur,53.166844343427584,87.61940979616672,62.27150134851616,80.29655449674244,57.6129494322072,12.412534225737755,21.538461538461508,87.0,66.66666666666667
3,Chennai,51.21935568632685,87.9056890781868,48.17201078813277,80.48536962401715,49.40782080956206,13.020991785822938,52.30769230769227,87.0,66.66666666666667
4,Lucknow,48.87664680042616,87.88439306358381,49.220857057236756,80.39436004566437,53.362722660147554,12.960146029814421,49.230769230769276,88.0,33.333333333333336
5,Delhi,35.420237722662606,88.27593550349863,29.937069223853523,80.78373785378194,36.441965067669,12.56464861575905,29.23076923076913,87.0,66.66666666666667
6,Kolkata,34.769083324246935,88.30057803468208,28.72340425531912,80.9419921590247,29.564884039542925,13.081837541831456,55.38461538461535,88.0,33.333333333333336
7,Bengaluru,20.531025163476038,88.38697900821418,24.468085106382382,81.08144252702974,23.504944762051323,12.351688469729236,18.46153846153842,89.0,0.0
8,Ahmedabad,19.943130135036427,88.52509887435352,17.665567875336663,81.22071066436872,17.452924479587075,12.412534225737755,21.538461538461508,88.0,33.333333333333336
9,Pune,11.669519768113735,88.5914207484028,14.399160922984526,81.4246995467827,8.58840688528864,11.986613933678127,0.0,88.0,33.333333333333336
10,Hyderabad,5.230769230769227,88.88378460602372,0.0,81.62233461305787,0.0,12.503802859750532,26.153846153846136,89.0,0.0
